,Location,Indicator,Value,SurveyYearLabel,ind1,periode,sex,year,indicateur
178,North-West,Recent sexual activity: Active in last 4 weeks,38.6,2000,Recent sexual activity, Active in last 4 weeks,,2000,Recent sexual activity
179,Metropolitan area,Recent sexual activity [Women]: Within the last year,21.0,2000,Recent sexual activity [Women], Within the last year,Women,2000,Recent sexual activity 
180,Rest of West,Recent sexual activity [Women]: Within the last year,20.7,2000,Recent sexual activity [Women], Within the last year,Women,2000,Recent sexual activity 
181,South-East,Recent sexual activity [Women]: Within the last year,19.9,2000,Recent sexual activity [Women], Within the last year,Women,2000,Recent sexual activity 
182,North,Recent sexual activity [Women]: Within the last year,24.7,2000,Recent sexual activity [Women], Within the last year,Women,2000,Recent sexual activity 
183,North-East,Recent sexual activity [Women]: Within the last year,23.2,2000,Recent sexual activity [Women], Within the last year,Women,2000,Recent sexual activity 
184,Artibonite,Recent sexual activity [Women]: Within the last year,25.2,2000,Recent sexual activity [Women], Within the last year,Women,2000,Recent sexual activity 
185,Centre,Recent sexual activity [Women]: Within the last year,26.3,2000,Recent sexual activity [Women], Within the last year,Women,2000,Recent sexual activity 
186,South,Recent sexual activity [Women]: Within the last year,23.5,2000,Recent sexual activity [Women], Within the last year,Women,2000,Recent sexual activity 
187,Grande-Anse/Nippes,Recent sexual activity [Women]: Within the last year,21.2,2000,Recent sexual activity [Women], Within the last year,Women,2000,Recent sexual activity 
188,North-West,Recent sexual activity [Women]: Within the last year,25.4,2000,Recent sexual activity [Women], Within the last year,Women,2000,Recent sexual activity 
189,Metropolitan area,Recent sexual activity [Women]: One or more years ago,13.9,2000,Recent sexual activity [Women], One or more years ago,Women,2000,Recent sexual activity 
190,Rest of West,Recent sexual activity [Women]: One or more years ago,10.9,2000,Recent sexual activity [Women], One or more years ago,Women,2000,Recent sexual activity 
191,South-East,Recent sexual activity [Women]: One or more years ago,8.6,2000,Recent sexual activity [Women], One or more years ago,Women,2000,Recent sexual activity 
192,North,Recent sexual activity [Women]: One or more years ago,7.7,2000,Recent sexual activity [Women], One or more years ago,Women,2000,Recent sexual activity 
193,North-East,Recent sexual activity [Women]: One or more years ago,10.1,2000,Recent sexual activity [Women], One or more years ago,Women,2000,Recent sexual activity 
194,Artibonite,Recent sexual activity [Women]: One or more years ago,8.4,2000,Recent sexual activity [Women], One or more years ago,Women,2000,Recent sexual activity 
195,Centre,Recent sexual activity [Women]: One or more years ago,4.4,2000,Recent sexual activity [Women], One or more years ago,Women,2000,Recent sexual activity 
196,South,Recent sexual activity [Women]: One or more years ago,10.0,2000,Recent sexual activity [Women], One or more years ago,Women,2000,Recent sexual activity 
197,Grande-Anse/Nippes,Recent sexual activity [Women]: One or more years ago,9.2,2000,Recent sexual activity [Women], One or more years ago,Women,2000,Recent sexual activity 
198,North-West,Recent sexual activity [Women]: One or more years ago,15.3,2000,Recent sexual activity [Women], One or more years ago,Women,2000,Recent sexual activity 
199,Metropolitan area,Recent sexual activity [Women]: Missing,0.0,2000,Recent sexual activity [Women], Missing,Women,2000,Recent sexual activity 
200,Rest of West,Recent sexual activity [Women]: Missing,0.1,2000,Recent sexual activity [Women], Missing,Women,2000,Recent sexual activity 
201,South-East,Recent sexual activity [Women]: Missing,0.0,2000,Recent sexual activity [Women], Missing,Women,2000,Recent sexual activity 
202,North,Recent sexual activity [Women]: Missing,0.0,2000,Recent sexual activity [Women], Missing,Women,2000,Recent sexual activity 
203,North-East,Recent sexual activity [Women]: Missing,0.0,2000,Recent sexual activity [Women], Missing,Women,2000,Recent sexual activity 
204,Artibonite,Recent sexual activity [Women]: Missing,0.0,2000,Recent sexual activity [Women], Missing,Women,2000,Recent sexual activity 
205,Centre,Recent sexual activity [Women]: Missing,0.0,2000,Recent sexual activity [Women], Missing,Women,2000,Recent sexual activity 
206,South,Recent sexual activity [Women]: Missing,0.0,2000,Recent sexual activity [Women], Missing,Women,2000,Recent sexual activity 
207,Grande-Anse/Nippes,Recent sexual activity [Women]: Missing,0.0,2000,Recent sexual activity [Women], Missing,Women,2000,Recent sexual activity 
208,North-West,Recent sexual activity [Women]: Missing,0.1,2000,Recent sexual activity [Women], Missing,Women,2000,Recent sexual activity 
209,Metropolitan area,Recent sexual activity: Never had sex,25.7,2000,Recent sexual activity, Never had sex,,2000,Recent sexual activity
210,Rest of West,Recent sexual activity: Never had sex,21.7,2000,Recent sexual activity, Never had sex,,2000,Recent sexual activity
211,South-East,Recent sexual activity: Never had sex,23.9,2000,Recent sexual activity, Never had sex,,2000,Recent sexual activity
212,North,Recent sexual activity: Never had sex,21.2,2000,Recent sexual activity, Never had sex,,2000,Recent sexual activity
213,North-East,Recent sexual activity: Never had sex,26.1,2000,Recent sexual activity, Never had sex,,2000,Recent sexual activity
214,Artibonite,Recent sexual activity: Never had sex,13.2,2000,Recent sexual activity, Never had sex,,2000,Recent sexual activity
215,Centre,Recent sexual activity: Never had sex,15.1,2000,Recent sexual activity, Never had sex,,2000,Recent sexual activity
216,South,Recent sexual activity: Never had sex,22.5,2000,Recent sexual activity, Never had sex,,2000,Recent sexual activity
217,Grande-Anse/Nippes,Recent sexual activity: Never had sex,19.3,2000,Recent sexual activity, Never had sex,,2000,Recent sexual activity
218,North-West,Recent sexual activity: Never had sex,20.7,2000,Recent sexual activity, Never had sex,,2000,Recent sexual activity
219,Metropolitan area,Women: Total,100.0,2000,Women, Total,,2000,Women
220,Rest of West,Women: Total,100.0,2000,Women, Total,,2000,Women
221,South-East,Women: Total,100.0,2000,Women, Total,,2000,Women
222,North,Women: Total,100.0,2000,Women, Total,,2000,Women
223,North-East,Women: Total,100.0,2000,Women, Total,,2000,Women
224,Artibonite,Women: Total,100.0,2000,Women, Total,,2000,Women
225,Centre,Women: Total,100.0,2000,Women, Total,,2000,Women
226,South,Women: Total,100.0,2000,Women, Total,,2000,Women
227,Grande-Anse/Nippes,Women: Total,100.0,2000,Women, Total,,2000,Women
228,North-West,Women: Total,100.0,2000,Women, Total,,2000,Women
229,Metropolitan area,Number of women,3464.0,2000,Number of women,,,2000,Number of women
230,Rest of West,Number of women,1195.0,2000,Number of women,,,2000,Number of women
231,South-East,Number of women,500.0,2000,Number of women,,,2000,Number of women
232,North,Number of women,852.0,2000,Number of women,,,2000,Number of women
233,North-East,Number of women,357.0,2000,Number of women,,,2000,Number of women
234,Artibonite,Number of women,1507.0,2000,Number of women,,,2000,Number of women
235,Centre,Number of women,704.0,2000,Number of women,,,2000,Number of women
236,South,Number of women,688.0,2000,Number of women,,,2000,Number of women
237,Grande-Anse/Nippes,Number of women,512.0,2000,Number of women,,,2000,Number of women
238,North-West,Number of women,381.0,2000,Number of women,,,2000,Number of women
239,Metropolitan area,Number of women (unweighted),1717.0,2000,Number of women (unweighted),,,2000,Number of women (unweighted)
240,Rest of West,Number of women (unweighted),1120.0,2000,Number of women (unweighted),,,2000,Number of women (unweighted)
241,South-East,Number of women (unweighted),852.0,2000,Number of women (unweighted),,,2000,Number of women (unweighted)
242,North,Number of women (unweighted),1228.0,2000,Number of women (unweighted),,,2000,Number of women (unweighted)
243,North-East,Number of women (unweighted),884.0,2000,Number of women (unweighted),,,2000,Number of women (unweighted)
244,Artibonite,Number of women (unweighted),953.0,2000,Number of women (unweighted),,,2000,Number of women (unweighted)
245,Centre,Number of women (unweighted),718.0,2000,Number of women (unweighted),,,2000,Number of women (unweighted)
246,South,Number of women (unweighted),1002.0,2000,Number of women (unweighted),,,2000,Number of women (unweighted)
247,Grande-Anse/Nippes,Number of women (unweighted),901.0,2000,Number of women (unweighted),,,2000,Number of women (unweighted)
248,North-West,Number of women (unweighted),784.0,2000,Number of women (unweighted),,,2000,Number of women (unweighted)
249,Metropolitan area,Recent sexual activity [Men]: Active 4 Weeks,45.5,2000,Recent sexual activity [Men], Active 4 Weeks,Men,2000,Recent sexual activity 
250,Rest of West,Recent sexual activity [Men]: Active 4 Weeks,50.8,2000,Recent sexual activity [Men], Active 4 Weeks,Men,2000,Recent sexual activity 
251,South-East,Recent sexual activity [Men]: Active 4 Weeks,55.2,2000,Recent sexual activity [Men], Active 4 Weeks,Men,2000,Recent sexual activity 
252,North,Recent sexual activity [Men]: Active 4 Weeks,49.8,2000,Recent sexual activity [Men], Active 4 Weeks,Men,2000,Recent sexual activity 
253,North-East,Recent sexual activity [Men]: Active 4 Weeks,55.0,2000,Recent sexual activity [Men], Active 4 Weeks,Men,2000,Recent sexual activity 
254,Artibonite,Recent sexual activity [Men]: Active 4 Weeks,51.0,2000,Recent sexual activity [Men], Active 4 Weeks,Men,2000,Recent sexual activity 
255,Centre,Recent sexual activity [Men]: Active 4 Weeks,59.2,2000,Recent sexual activity [Men], Active 4 Weeks,Men,2000,Recent sexual activity 
256,South,Recent sexual activity [Men]: Active 4 Weeks,51.1,2000,Recent sexual activity [Men], Active 4 Weeks,Men,2000,Recent sexual activity 
257,Grande-Anse/Nippes,Recent sexual activity [Men]: Active 4 Weeks,45.4,2000,Recent sexual activity [Men], Active 4 Weeks,Men,2000,Recent sexual activity 
258,North-West,Recent sexual activity [Men]: Active 4 Weeks,44.2,2000,Recent sexual activity [Men], Active 4 Weeks,Men,2000,Recent sexual activity 
259,Metropolitan area,Recent sexual activity [Men]: Within the last year,25.5,2000,Recent sexual activity [Men], Within the last year,Men,2000,Recent sexual activity 
260,Rest of West,Recent sexual activity [Men]: Within the last year,26.1,2000,Recent sexual activity [Men], Within the last year,Men,2000,Recent sexual activity 
261,South-East,Recent sexual activity [Men]: Within the last year,16.6,2000,Recent sexual activity [Men], Within the last year,Men,2000,Recent sexual activity 
262,North,Recent sexual activity [Men]: Within the last year,23.9,2000,Recent sexual activity [Men], Within the last year,Men,2000,Recent sexual activity 
263,North-East,Recent sexual activity [Men]: Within the last year,21.3,2000,Recent sexual activity [Men], Within the last year,Men,2000,Recent sexual activity 
264,Artibonite,Recent sexual activity [Men]: Within the last year,23.0,2000,Recent sexual activity [Men], Within the last year,Men,2000,Recent sexual activity 
265,Centre,Recent sexual activity [Men]: Within the last year,18.1,2000,Recent sexual activity [Men], Within the last year,Men,2000,Recent sexual activity 
266,South,Recent sexual activity [Men]: Within the last year,19.8,2000,Recent sexual activity [Men], Within the last year,Men,2000,Recent sexual activity 
267,Grande-Anse/Nippes,Recent sexual activity [Men]: Within the last year,26.1,2000,Recent sexual activity [Men], Within the last year,Men,2000,Recent sexual activity 
268,North-West,Recent sexual activity [Men]: Within the last year,23.5,2000,Recent sexual activity [Men], Within the last year,Men,2000,Recent sexual activity 
269,Metropolitan area,Recent sexual activity [Men]: One or more years ago,11.1,2000,Recent sexual activity [Men], One or more years ago,Men,2000,Recent sexual activity 
270,Rest of West,Recent sexual activity [Men]: One or more years ago,8.1,2000,Recent sexual activity [Men], One or more years ago,Men,2000,Recent sexual activity 
271,South-East,Recent sexual activity [Men]: One or more years ago,8.0,2000,Recent sexual activity [Men], One or more years ago,Men,2000,Recent sexual activity 
272,North,Recent sexual activity [Men]: One or more years ago,8.9,2000,Recent sexual activity [Men], One or more years ago,Men,2000,Recent sexual activity 
273,North-East,Recent sexual activity [Men]: One or more years ago,6.3,2000,Recent sexual activity [Men], One or more years ago,Men,2000,Recent sexual activity 
